,Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),TOTAL DEMAND
24,2021/02/25,11.3,24.3,0.0,5.8,8.7,SSW,39.0,19:08,13.4,72.0,7.0,E,4,1012.8,23.4,37,2.0,W,11,1009.1,4477.35
276,2021/11/04,13.5,17.5,45.4,3.0,8.3,SSW,39.0,15:24,14.9,73.0,7.0,SSE,9,1025.8,17.4,72,1.0,SSW,19,1025.0,4089.18
318,2021/12/16,12.8,19.9,0.0,3.0,11.4,SW,33.0,16:15,15.9,77.0,7.0,SSW,13,1017.5,18.6,56,1.0,SSW,17,1017.0,4237.13
244,2021/10/03,12.6,22.0,0.0,1.4,5.9,NNW,35.0,16:57,13.9,88.0,4.0,N,9,1004.6,21.2,48,7.0,NW,11,999.3,3954.97
264,2021/10/23,12.7,16.1,14.6,7.6,0.0,SSW,39.0,22:51,13.5,93.0,8.0,SSW,9,1015.0,13.5,83,8.0,SSW,11,1016.8,4278.16
111,2021/05/23,6.1,20.2,0.0,3.4,8.8,NNW,24.0,13:50,8.7,78.0,3.0,NNE,11,1027.4,20.1,42,3.0,NNE,13,1024.9,4579.13
187,2021/08/07,10.5,15.5,0.0,1.6,2.4,NW,30.0,06:10,11.2,75.0,7.0,NW,11,1026.9,13.2,75,7.0,SSW,11,1026.4,4967.19
183,2021/08/03,8.7,14.5,4.8,2.6,4.1,NNW,35.0,12:23,10.6,77.0,2.0,N,9,1008.1,13.3,53,6.0,WNW,15,1007.7,5530.0
96,2021/05/08,9.9,19.8,0.0,2.8,5.1,SW,24.0,16:55,15.1,76.0,2.0,W,4,1013.9,17.3,69,7.0,SSW,6,1013.4,4400.58
210,2021/08/30,6.4,17.6,4.0,1.4,7.4,NNW,50.0,14:04,11.1,70.0,7.0,N,15,1016.1,16.8,45,1.0,NNW,28,1013.2,4836.63
25,2021/02/26,13.3,19.7,0.4,7.0,6.3,SSW,33.0,14:18,14.7,64.0,7.0,WSW,7,1014.5,18.6,49,5.0,S,17,1014.1,4491.96
235,2021/09/24,11.0,18.8,0.0,7.6,9.1,NW,50.0,10:32,16.1,51.0,1.0,NNW,13,1009.0,17.3,40,5.0,WNW,17,1007.7,4036.37
224,2021/09/13,7.1,14.3,5.6,3.6,9.1,S,37.0,09:59,12.2,70.0,7.0,S,6,1019.3,13.1,59,4.0,SSW,19,1021.4,4902.53
361,2022/01/28,21.7,32.8,1.6,13.2,4.6,S,43.0,13:04,27.9,59.0,6.0,N,15,1008.8,21.1,100,7.0,S,17,1010.7,5986.79
166,2021/07/17,7.6,13.7,0.2,2.8,0.8,NNW,33.0,07:56,8.7,67.0,7.0,N,13.0,992.8,13.2,66,7.0,W,11,996.7,5230.87
265,2021/10/24,10.1,15.3,2.0,1.8,7.2,SW,41.0,08:30,12.5,54.0,6.0,S,13,1022.5,14.5,49,7.0,S,19,1022.2,3934.75
363,2022/01/30,18.7,29.2,0.0,3.0,6.2,SE,30.0,17:26,21.3,76.0,7.0,N,4,1015.4,25.8,64,6.0,S,13,1012.3,4710.65
164,2021/07/15,10.0,17.1,3.0,1.6,7.0,N,43.0,12:40,12.3,84.0,5.0,N,17.0,1000.0,16.4,67,4.0,N,22,996.6,5345.47
317,2021/12/15,15.2,17.7,0.0,6.0,0.0,SSW,28.0,14:27,16.8,85.0,8.0,SW,9,1013.4,16.7,72,8.0,S,13,1014.9,4833.67
366,2022/02/02,14.9,19.9,3.2,8.6,1.1,S,41.0,23:32,16.4,53.0,4.0,S,11,1011.7,19.2,47,7.0,SSW,15,1012.4,4303.9
294,2021/11/22,10.2,20.8,0.0,5.0,11.4,SSW,24.0,16:02,15.8,65.0,3.0,SE,7,1022.7,18.8,62,7.0,SSW,13,1019.8,4140.19
112,2021/05/24,6.8,19.9,0.0,2.6,4.8,NE,31.0,12:40,10.7,73.0,7.0,NE,9,1027.4,18.4,47,6.0,N,13,1023.4,5052.52
388,2022/02/24,19.3,22.7,0.0,6.8,2.9,S,37.0,17:09,20.6,87.0,7.0,SSW,9,1019.2,21.7,72,7.0,S,17,1018.3,5046.33
139,2021/06/20,5.2,14.5,0.0,0.0,6.9,SE,20.0,10:40,9.1,100.0,1.0,E,4,1027.8,13.8,69,2.0, ,Calm,1025.4,4992.05
343,2022/01/10,15.5,31.4,0.2,6.8,10.9,SSW,31.0,12:46,18.6,76.0,5.0,NE,9,1017.9,28.3,57,2.0,SSW,9,1016.2,4912.22
