,Date,Normalized,TOTAL DEMAND
274,2022/01/24,0.9390858322204689,6050.81
275,2021/12/05,0.12384160900004049,3633.35
276,2021/07/12,0.7735151686833126,5559.84
277,2021/10/04,0.36254434597277885,4341.18
278,2021/05/04,0.6682111879999462,5247.58
279,2021/06/02,0.6553963821779775,5209.58
280,2021/02/11,0.7935770844293365,5619.33
281,2021/06/23,0.7938198912764898,5620.05
282,2021/02/16,0.6200882198211324,5104.88
283,2021/05/03,0.5635614368769646,4937.26
284,2022/02/09,0.5761098296305291,4974.47
285,2021/05/14,0.6462708915058074,5182.52
286,2021/03/26,0.4545310455532624,4613.95
287,2021/10/26,0.3862551090607422,4411.49
288,2021/07/18,0.5951263270068661,5030.86
289,2022/02/18,0.34508923151632886,4289.42
290,2021/06/30,0.7087059743973669,5367.66
291,2021/11/20,0.2178247204348941,3912.04
292,2021/08/23,0.5793438819419154,4984.06
293,2021/02/05,0.591615744675111,5020.45
294,2021/06/16,0.7553113997814739,5505.86
295,2021/04/29,0.6293587201381302,5132.37
296,2021/02/17,0.7154168858672928,5387.56
297,2022/02/15,0.5373281804324661,4859.47
298,2021/08/10,0.5553498441989397,4912.91
299,2022/03/16,0.5282364129335115,4832.51
300,2022/03/17,0.6188674409507239,5101.26
301,2021/12/06,0.3997477506643466,4451.5
302,2021/08/18,0.7295772463005681,5429.55
303,2021/02/25,0.40846519094060696,4477.35
304,2021/11/04,0.27756194946919727,4089.18
305,2021/12/16,0.32745538424183573,4237.13
306,2021/10/03,0.23230207869639702,3954.97
307,2021/10/23,0.3412920022122402,4278.16
308,2021/05/23,0.44278863663955337,4579.13
309,2021/08/07,0.5736547826204255,4967.19
310,2021/08/03,0.7634521737957456,5530.0
311,2021/05/08,0.3825759108629086,4400.58
312,2021/08/30,0.5296258076699987,4836.63
313,2021/02/26,0.4133921465474216,4491.96
314,2021/09/24,0.25975274169398244,4036.37
315,2021/09/13,0.5518493788191494,4902.53
316,2022/01/28,0.9174962567277731,5986.79
317,2021/07/17,0.6625760457556015,5230.87
318,2021/10/24,0.22548325307218114,3934.75
319,2022/01/30,0.4871413540528509,4710.65
320,2021/07/15,0.7012228022608017,5345.47
321,2021/12/15,0.5286276017428138,4833.67
322,2022/02/02,0.3499723469979631,4303.9
323,2021/11/22,0.2947641401265293,4140.19
324,2021/05/24,0.6024307663253884,5052.52
325,2022/02/24,0.600343301903336,5046.33
326,2021/06/20,0.5820383634818503,4992.05
327,2022/01/10,0.5551171543037515,4912.22
