Date,Minimum temperature (°C),Maximum temperature (°C),Mean Temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of maximum wind gust (km/h)
2021/03/09,13.5,19.6,16.55,5.4,0.2,6.9,33.0
2021/08/13,8.1,17.6,12.850000000000001,0.0,1.2,10.1,33.0
2021/11/21,11.8,17.2,14.5,0.0,5.4,9.1,39.0
2021/06/25,10.6,13.2,11.899999999999999,0.6,2.4,0.3,37.0
2022/03/06,16.6,21.8,19.200000000000003,4.8,3.2,1.3,46.0
2022/03/08,15.4,20.7,18.05,2.0,5.8,3.3,39.0
2021/10/05,11.5,17.4,14.45,2.2,5.4,5.7,54.0
2021/04/27,11.8,16.6,14.200000000000001,0.6,2.0,0.9,19.0
2021/05/17,10.2,15.4,12.8,0.4,0.6,7.1,30.0
2021/06/21,3.9,15.4,9.65,0.2,0.4,9.1,26.0
2021/02/14,12.7,20.0,16.35,0.0,4.0,8.1,35.0
2021/09/08,9.7,20.8,15.25,0.0,1.4,11.0,41.0
2021/07/13,8.9,14.4,11.65,0.4,2.4,2.4,37.0
2021/11/07,12.9,16.5,14.7,15.4,5.2,0.0,28.0
2021/06/22,3.7,16.3,10.0,0.0,2.0,1.9,28.0
2022/01/20,12.9,30.4,21.65,0.0,10.0,13.6,31.0
2021/12/12,10.4,28.7,19.55,0.0,6.2,13.0,28.0
2021/07/26,8.1,16.4,12.25,0.0,1.0,2.9,43.0
2022/01/18,17.1,21.3,19.200000000000003,0.0,7.6,6.1,39.0
2021/05/12,7.3,18.5,12.9,0.8,2.6,8.8,24.0
2021/08/17,9.8,13.9,11.850000000000001,0.4,2.0,3.3,30.0
2021/05/15,7.3,12.9,10.1,7.4,2.4,7.5,54.0
2021/05/26,11.9,14.7,13.3,5.0,3.4,1.4,39.0
2021/09/06,9.1,15.5,12.3,1.0,1.8,10.4,33.0
2021/11/08,12.0,17.4,14.7,0.2,2.4,7.9,28.0
2022/01/15,18.8,24.2,21.5,6.0,9.0,5.0,30.0
2021/07/16,10.9,15.2,13.05,0.2,0.8,2.4,41.0
2021/08/12,8.1,16.6,12.350000000000001,2.8,4.4,4.7,31.0
2021/09/14,5.5,14.1,9.8,0.2,2.4,8.5,31.0
2021/06/09,7.8,14.7,11.25,4.0,1.6,0.5,67.0
2021/12/25,16.9,21.7,19.299999999999997,0.0,6.8,6.1,39.0
2021/05/21,6.2,17.7,11.95,0.0,1.6,8.9,15.0
2022/03/03,17.5,30.5,24.0,0.0,3.6,12.1,24.0
2022/02/10,17.3,22.7,20.0,0.0,5.2,6.8,39.0
2021/12/04,12.5,18.8,15.65,0.0,6.8,2.7,37.0
2021/07/22,5.1,11.8,8.45,0.6,2.6,0.1,46.0
2021/04/08,15.4,29.3,22.35,0.0,4.6,4.9,43.0
2021/12/27,13.9,23.3,18.6,0.2,5.8,9.7,43.0
2021/02/01,13.4,20.3,16.85,0.0,7.4,1.6,33.0
2021/04/30,9.5,24.4,16.95,0.0,0.0,10.2,30.0
2022/01/03,16.8,20.3,18.55,0.0,10.0,10.5,41.0
2021/02/18,18.1,31.8,24.950000000000003,0.0,11.4,12.4,46.0
2021/12/26,15.1,18.8,16.95,0.0,8.0,2.7,39.0
2021/04/16,11.5,15.1,13.3,1.0,4.2,1.3,24.0
2022/02/25,18.0,21.7,19.85,0.0,4.8,5.8,37.0
2021/08/24,6.4,13.1,9.75,10.4,4.0,6.2,39.0
2021/03/14,11.0,17.7,14.35,17.2,7.4,10.0,31.0
2021/04/28,7.4,16.9,12.149999999999999,0.4,3.0,9.5,22.0
2021/03/05,15.0,18.0,16.5,1.4,4.4,3.6,35.0
2021/06/19,9.1,16.2,12.649999999999999,2.2,1.6,4.0,28.0
2021/07/29,6.7,15.4,11.05,0.8,3.4,7.8,41.0
2021/03/21,16.7,21.7,19.2,1.2,3.0,0.0,17.0
2021/05/07,10.5,21.5,16.0,0.2,2.4,3.6,15.0
2021/04/04,15.2,24.5,19.85,0.0,8.6,10.1,35.0
2021/07/14,9.8,13.9,11.850000000000001,2.2,3.0,0.5,44.0
2021/05/22,3.6,19.2,11.4,0.0,3.0,9.3,35.0
2021/04/06,12.8,20.2,16.5,0.0,4.0,4.4,26.0
2021/05/25,10.6,20.9,15.75,0.0,5.6,3.2,57.0
2021/11/27,11.4,21.6,16.5,0.0,5.8,12.8,46.0
2021/12/19,15.2,23.1,19.15,0.0,8.6,4.2,65.0
2021/10/15,9.3,17.1,13.200000000000001,0.6,4.6,5.0,44.0
2021/12/29,11.9,22.4,17.15,0.0,8.0,13.7,30.0
2021/04/26,10.9,17.9,14.399999999999999,1.2,2.2,0.8,20.0
2021/07/27,10.1,17.1,13.600000000000001,0.0,3.4,4.3,67.0
2022/03/05,17.3,22.2,19.75,37.8,10.0,1.5,37.0
2021/05/27,9.8,15.0,12.4,0.4,1.6,0.6,33.0
2021/09/27,5.1,19.4,12.25,0.0,3.8,11.2,43.0
2022/02/28,18.9,23.9,21.4,0.0,4.8,3.7,26.0
2021/12/09,12.2,17.7,14.95,1.8,5.0,0.2,43.0
2021/08/08,5.8,16.4,11.1,0.6,1.2,5.5,17.0
2021/10/19,9.2,16.4,12.799999999999999,0.8,2.6,5.0,35.0
2021/10/06,8.2,21.6,14.9,0.2,4.4,8.6,39.0
2021/12/01,18.5,32.4,25.45,0.0,11.4,5.2,43.0
2021/10/18,9.9,16.9,13.399999999999999,0.0,2.0,0.9,35.0
2021/05/09,11.0,20.5,15.75,0.4,0.0,7.1,28.0
2021/08/28,5.3,17.8,11.55,0.0,1.6,9.6,39.0
2021/05/10,11.7,16.9,14.299999999999999,0.2,3.8,0.5,41.0
2022/02/23,15.1,32.0,23.55,0.0,6.4,9.4,31.0
2021/02/04,13.5,30.6,22.05,0.0,6.6,4.1,43.0
2022/02/14,17.8,31.6,24.700000000000003,0.0,12.6,12.2,46.0
2021/10/11,7.4,14.4,10.9,0.4,4.0,4.4,33.0
2021/10/28,15.4,28.3,21.85,0.2,9.2,5.4,50.0
2021/10/29,11.3,15.5,13.4,5.0,8.2,6.4,76.0
2022/02/21,13.7,20.3,17.0,1.6,5.8,11.3,35.0
2021/06/26,10.0,13.4,11.7,5.6,0.2,4.6,28.0
2021/10/13,9.9,18.8,14.350000000000001,0.0,3.6,3.1,43.0
2021/08/16,11.0,14.4,12.7,0.2,6.6,2.8,44.0
2021/07/31,9.9,18.1,14.0,0.0,7.0,6.3,54.0
2022/02/17,17.1,24.3,20.700000000000003,0.0,4.0,2.4,28.0
2022/03/07,15.9,23.1,19.5,0.0,2.8,8.1,37.0
2021/09/26,5.0,15.4,10.2,0.2,2.4,9.7,31.0
2021/09/29,12.6,19.3,15.95,0.0,5.2,0.8,33.0
2021/07/23,7.8,11.3,9.55,0.0,0.6,1.5,31.0
2021/12/03,13.0,20.4,16.7,8.8,7.0,11.7,33.0
2021/04/11,8.1,14.5,11.3,3.4,5.2,6.1,56.0
2021/12/17,9.9,30.8,20.35,0.0,6.8,10.2,30.0
2022/02/01,19.8,23.6,21.700000000000003,0.0,9.6,8.4,50.0
