Date,Minimum temperature (°C),Maximum temperature (°C),Mean Temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Speed of maximum wind gust (km/h)
2022/01/25,0.9144385026737969,0.7613636363636362,0.8940568475452196,0.0,0.7352941176470589,0.9343065693430658,0.2459016393442623
2022/02/12,0.6791443850267379,0.6439393939393939,0.7002583979328165,0.0,0.4705882352941177,0.905109489051095,0.29508196721311475
2021/02/23,0.5401069518716578,0.29924242424242414,0.39793281653746765,0.0,0.5294117647058824,0.6204379562043796,0.45901639344262296
2022/01/19,0.663101604278075,0.5833333333333333,0.6511627906976745,0.0,0.5294117647058824,0.9927007299270073,0.6065573770491803
2021/03/20,0.5882352941176471,0.5568181818181818,0.5968992248062015,0.0,0.3970588235294118,0.38686131386861317,0.26229508196721313
2021/11/06,0.7272727272727274,0.5946969696969696,0.689922480620155,0.0,0.3970588235294118,0.31386861313868614,0.45901639344262296
2021/10/10,0.37433155080213903,0.13636363636363633,0.20671834625322996,0.04845814977973569,0.3970588235294118,0.5547445255474452,0.39344262295081966
2022/03/18,0.8609625668449199,0.39393939393939387,0.6175710594315245,0.0,0.36764705882352944,0.14598540145985403,0.26229508196721313
2021/03/10,0.4919786096256684,0.3333333333333333,0.39793281653746765,0.004405286343612335,0.5,0.5255474452554745,0.2459016393442623
2021/05/13,0.2727272727272727,0.23863636363636365,0.22739018087855306,0.0,0.08823529411764706,0.07299270072992702,0.39344262295081966
2021/04/02,0.5614973262032086,0.7310606060606061,0.702842377260982,0.0,0.4852941176470588,0.7883211678832118,0.0
2021/07/05,0.08556149732620319,0.06818181818181814,0.020671834625323016,0.00881057268722467,0.11764705882352942,0.1386861313868613,0.11475409836065574
2021/04/13,0.25668449197860965,0.3295454545454545,0.28165374677002586,0.013215859030837005,0.0,0.18248175182481752,0.7213114754098361
2021/11/01,0.3048128342245989,0.4507575757575757,0.38759689922480617,0.0,0.338235294117647,0.9124087591240876,0.18032786885245902
2021/11/12,0.42780748663101603,0.10227272727272724,0.20930232558139536,0.022026431718061675,0.3235294117647059,0.0,0.5737704918032787
2021/03/06,0.5989304812834224,0.3068181818181817,0.43152454780361743,0.0,0.4117647058823529,0.7299270072992701,0.29508196721311475
2021/11/29,0.37967914438502676,0.659090909090909,0.565891472868217,0.0,0.4705882352941177,0.9124087591240876,0.18032786885245902
2021/05/20,0.4812834224598931,0.21590909090909086,0.31266149870801035,0.0,0.29411764705882354,0.014598540145985403,0.36065573770491804
2021/09/07,0.40106951871657753,0.18560606060606052,0.2532299741602067,0.0,0.23529411764705885,0.3576642335766424,0.26229508196721313
2021/09/11,0.5454545454545454,0.43560606060606055,0.4935400516795866,0.0,0.4705882352941177,0.08029197080291972,0.5081967213114754
2021/10/08,0.21390374331550802,0.3598484848484848,0.28165374677002586,0.0,0.29411764705882354,0.8540145985401459,0.47540983606557374
2021/06/18,0.1657754010695187,0.0719696969696969,0.06201550387596895,0.03524229074889868,0.1323529411764706,0.007299270072992701,0.18032786885245902
2021/09/12,0.3903743315508022,0.18560606060606052,0.248062015503876,0.0,0.3823529411764706,0.5328467153284672,0.39344262295081966
2021/04/20,0.5882352941176471,0.2803030303030302,0.4082687338501293,0.0,0.4117647058823529,0.1386861313868613,0.47540983606557374
2021/08/04,0.25668449197860965,0.12121212121212117,0.1395348837209303,0.013215859030837005,0.1323529411764706,0.24817518248175183,0.26229508196721313
2021/03/16,0.43315508021390375,0.3522727272727273,0.38242894056847554,0.0,0.16176470588235295,0.5839416058394161,0.18032786885245902
2021/03/04,0.5668449197860963,0.38257575757575746,0.46770025839793283,0.0,0.29411764705882354,0.18978102189781024,0.32786885245901637
