userid,utype,domain,followers,friends,total_tweets,years,per_rt,chars,chars_rt,commas,commas_rt,periods,periods_rt,quesmark,quesmark_rt,exmark,exmark_rt,colon,colon_rt,semi,semi_rt,punc,punc_rt,tagpermsg,tagpermsg_rt,mentpermsg,mentpermsg_rt,urlpermsg,urlpermsg_rt,percent_msgwithment,percent_msgwithment_rt,percent_msgwithtag,percent_msgwithtag_rt,percent_msgwithurl,percent_msgwithurl_rt,first,verb_phrase,noun_phrase,interj,stopwords,slang,sentiment,entity,active_vb,modal_vb,negative_vb,dt,num_en,org_avg_d,org_med,org_avg_d_np,org_med_np,org_avg_d_vp,org_med_vp,pot_org,rt_avg_d,rt_med,rt_avg_d_np,rt_med_np,rt_avg_d_vp,rt_med_vp,pot_rt,lexco,glowbe_glowbe_dist_minval,glowbe_glowbe_dist_min3val,glowbe_glowbe_dist_minval_rt,glowbe_glowbe_dist_min3val_rt,glowbe_us_count_minval,glowbe_us_count_min3val, topic_coherence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2314135668,Random,Unknown,114,298,1,6.493150685,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,1,5,1,2,1,0,2,2,3,1,9,9,2,2,8,8,1,0,0,0,0,0,0,0,0,0.477882346,0.258213954,None,None,200,5414,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4217582634,morethan100msgs,Technology,2489,2706,123,5.594520548,0,109.4634146,0,0.211382114,0,1.25203252,0,0.113821138,0,0.105691057,0,1.024390244,0,0.024390244,0,2.731707317,0,2.666666667,0,0.138211382,0,0.926829268,0,0.130081301,0,0.943089431,0,0.918699187,0,0.279661017,1.398305085,3.63559322,0.008474576,3.211864407,0.720338983,0.305084746,0.313559322,0.36440678,0.398305085,0.847457627,0.881355932,118,6.195121951,6,3.049586777,2,5.242990654,4,0.951219512,0,0,0,0,0,0,0,0.021335734,0.42197776,0.244982605,None,None,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8534145356,between10-3msgs,Fitness,80,248,13,1.778082192,0.307692308,129.5555556,111,0.777777778,0.75,4.111111111,2,0,0,0,0,1,3.25,0,0.25,5.888888889,6.25,4.222222222,0.75,0,1.25,1,0.75,0,1,1,0.5,1,0.75,0.3,1,3.7,0,1.9,0.4,0.2,1.6,0,0.2,0.6,0.7,10,5.222222222,5,2.444444444,2,4.714285714,3,0.888888889,3,2.5,2.5,2.5,0,0,0.75,0,0.32743111,0.18750976,0.470154116,0.262971336,79,165.666667,0.054874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3798836304,friend,Unknown,4163,926,3,8.010958904,1,0,124.6666667,0,0.333333333,0,2,0,0,0,0,0,1.333333333,0,0,0,3.666666667,0,0.666666667,0,1.333333333,0,0.333333333,0,1,0,0.666666667,0,0.333333333,0,2.5,6,0,6,1,0.5,0,0,1.5,2.5,1,2,0,0,0,0,0,0,0,7,6,4.666666667,5,7,5,1,0,None,None,0.240977459,0.426932529,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4422082346,mentioned,Fitness,40080,3805,1,6.953424658,1,0,118,0,0,0,2,0,0,0,2,0,2,0,0,0,6,0,1,0,1,0,2,0,1,0,1,0,1,0,1,3,0,3,0,1,1,0,0,0,1,1,7.257641921,7,3.703056769,3,6.23943662,6,0.986899563,6.903225806,7,3.193548387,2,5.566666667,5,0.967741935,0.031735305,None,None,0.10670167,0.110517155,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4256842593,morethan100msgs,Technology,478,499,93,5.597260274,0,101.0430108,0,0.043010753,0,1.451612903,0,0.139784946,0,0.032258065,0,1.096774194,0,0.043010753,0,2.806451613,0,1.569892473,0,0.053763441,0,0.989247312,0,0.021505376,0,0.806451613,0,0.989247312,0,0.580645161,0.64516129,3.505376344,0.172043011,2.569892473,1,0.365591398,0.774193548,0.11827957,0.505376344,0.913978495,0.483870968,93,5.010869565,4,2.885057471,3,4.397058824,3,0.956989247,0,0,0,0,0,0,0,0.067613918,0.359979259,0.213249047,None,None,4,34,0.027124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1889402485,friend,Science,1341,1923,15,5.309589041,0,106.0666667,0,0.466666667,0,1.2,0,0,0,0,0,1.133333333,0,0.066666667,0,2.866666667,0,0,0,0.066666667,0,1.066666667,0,0.066666667,0,0,0,1,0,0.133333333,0.4,3.866666667,0.2,1.8,0.266666667,0,1,0,0.2,0.333333333,0.333333333,15,5.333333333,5,3.857142857,3,3.8,3,0.933333333,0,0,0,0,0,0,0,0.056514513,0.440719074,0.274115066,None,None,12,32.333333,0.043046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4928024251,between100-10msgs,Technology,20,81,270,1.756164384,0.992592593,77,116.1828358,0,0.007462687,1,1.041044776,1.5,0.003731343,0,0.026119403,0.5,2.936567164,0,0.041044776,3,4.055970149,4,3.652985075,1,1.01119403,0.5,0.981343284,0.5,1,0.5,0.973880597,0.5,0.970149254,0.020833333,0.166666667,1.75,0.083333333,0.229166667,0.0625,0.052083333,0.15625,0.041666667,0.010416667,0.0625,0.177083333,96,2,2,2,2,0,0,0,2.742574257,2,2.421568627,2,2.684931507,0,0.141791045,0.147156085,None,None,0.172826805,0.186958029,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8091019578,friend,Fitness,933,1071,36,2.106849315,1,0,136.1388889,0,0.111111111,0,1.666666667,0,0.111111111,0,0.194444444,0,2.388888889,0,0.25,0,4.722222222,0,2.111111111,0,2.194444444,0,0.805555556,0,1,0,0.777777778,0,0.805555556,0.1875,1.125,4.1875,0.4375,1.5,0.5,0.5,0.875,0.1875,0.1875,0.5,0.4375,16,0,0,0,0,0,0,0,5.694444444,5,3.085714286,2,5.032258065,4,0.972222222,0.007539132,None,None,0.259304578,0.412494732,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4871748969,Random,Unknown,669,2001,1,2.005479452,1,0,98,0,1,0,2,0,0,0,0,0,1,0,0,0,4,0,1,0,1,0,0,0,1,0,1,0,0,1,2,3,0,5,1,1,0,1,1,3,0,1,0,0,0,0,0,0,0,10,10,2,2,9,9,1,0,None,None,0.322684306,0.402442491,None,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
